"","Andrena_carlini","Andrena_miserabilis","Osmia_atriventris","Osmia_bucephala","Osmia_lignaria","Osmia_pumila","Andrena_violae"
"100071",0,0,0,0,0,0,0
"100072",0,0,0,0,0,0,0
"100073",0,0,0,0,0,0,0
"100074",0,0,0,0,0,0,0
"100075",0,0,0,0,0,0,0
"100076",0,0,0,0,0,0,0
"100077",0,0,0,0,0,0,0
"100078",0,0,0,0,0,0,0
"100079",0,0,0,0,0,0,0
"100080",0,0,0,0,0,0,0
"100081",0,0,0,0,0,0,0
"100082",0,0,0,0,0,0,0
"100083",0,0,0,0,0,0,0
"100084",0,0,0,0,0,0,0
"100085",0,0,0,0,0,0,0
"100086",0,0,0,0,0,0,0
"100087",0,0,0,0,0,0,0
"100088",0,0,0,0,0,0,0
"100089",0,0,0,0,0,0,0
"100090",0,0,0,0,0,0,0
"100091",0,0,0,0,0,0,0
"100092",0,0,0,0,0,0,0
"100093",0,0,0,0,0,0,0
"100094",0,0,0,0,0,0,0
"100095",0,0,0,0,0,0,0
"100096",0,0,0,0,0,0,0
"100097",0,0,0,0,0,0,0
"100098",0,0,0,0,0,0,0
"100099",0,0,0,0,0,0,0
"100100",0,0,0,0,0,0,0
"100101",0,0,0,0,0,0,0
"100102",0,0,0,0,0,0,0
"100103",0,0,0,0,0,0,0
"100104",0,0,0,0,0,0,0
"100105",0,0,0,0,0,0,0
"100106",0,0,0,0,0,0,0
"100107",0,0,0,0,0,0,0
"100108",0,0,0,0,0,0,0
"100109",0,0,0,0,0,0,0
"100110",0,0,0,0,0,0,0
"100111",0,0,0,0,0,0,0
"100112",0,0,0,0,0,0,0
"100113",0,0,0,0,0,0,0
"100114",0,0,0,0,0,0,0
"100115",0,0,0,0,0,0,0
"100116",0,0,0,0,0,0,0
"100117",0,0,0,0,0,0,0
"100118",0,0,0,0,0,0,0
"100119",0,0,0,0,0,0,0
"100120",0,0,0,0,0,0,0
"100121",0,0,0,0,0,0,0
"100122",0,0,0,0,0,0,0
"100123",0,0,0,0,0,0,0
"100124",0,0,0,0,0,0,0
"100125",0,0,0,0,0,0,0
"100126",0,0,0,0,0,0,0
"100127",0,0,0,0,0,0,0
"100128",0,0,0,0,0,0,0
"100129",0,0,0,0,0,0,0
"100130",0,0,0,0,0,0,0
"100131",0,0,0,0,0,0,0
"100132",0,0,0,0,0,0,0
"100133",0,0,0,0,0,0,0
"100134",0,0,0,0,0,0,0
"100135",0,0,0,0,0,0,0
"100136",0,0,0,0,0,0,0
"100137",0,0,0,0,0,0,0
"100138",0,0,0,0,0,0,0
"100139",0,0,0,0,0,0,0
"100140",0,0,0,0,0,0,0
"100141",0,0,0,0,0,0,0
"100142",0,0,0,0,0,0,0
"100143",0,0,0,0,0,0,0
"100144",0,0,0,0,0,0,0
"100145",0,0,0,0,0,0,0
"100146",0,0,0,0,0,0,0
"100147",0,0,0,0,0,0,0
"100148",0,0,0,0,0,0,0
"100149",0,0,0,0,0,0,0
"100150",0,0,0,0,0,0,0
"100151",0,0,0,0,0,0,0
"100152",0,0,0,0,0,0,0
"100153",0,0,0,0,0,0,0
"100154",0,0,0,0,0,0,0
"100155",0,0,0,0,0,0,0
"100156",0,0,0,0,0,0,0
"100157",0,0,0,0,0,0,0
"100158",0,0,0,0,0,0,0
"100159",0,0,0,0,0,0,0
"100160",0,0,0,0,0,0,0
"100161",0,0,0,0,0,0,0
"100162",0,0,0,0,0,0,0
"100163",0,0,0,0,0,0,0
"100164",0,0,0,0,0,0,0
"100165",0,0,0,0,0,0,0
"100166",0,0,0,0,0,0,0
"100167",0,0,0,0,0,0,0
"100168",0,0,0,0,0,0,0
"100169",0,0,0,0,0,0,0
"100170",0,0,0,0,0,0,0
"100171",0,0,0,0,0,0,0
"100172",0,0,0,0,0,0,0
"100173",0,0,0,0,0,0,0
"100174",0,0,0,0,0,0,0
"100175",0,0,0,0,0,0,0
"100176",0,0,0,0,0,0,0
"100177",0,0,0,0,0,0,0
"100178",0,0,0,0,0,0,0
"100179",0,0,0,0,0,0,0
"100180",0,0,0,0,0,0,0
"100181",0,0,0,0,0,0,0
"100182",0,0,0,0,0,0,0
"100183",0,0,0,0,0,0,0
"100184",0,0,0,0,0,0,0
"100185",0,0,0,0,0,0,0
"100186",0,0,0,0,0,0,0
"100187",0,0,0,0,0,0,0
"100188",0,0,0,0,0,0,0
"100189",0,0,0,0,0,0,0
"100190",0,0,0,0,0,0,0
"100191",0,0,0,0,0,0,0
"100192",0,0,0,0,0,0,0.000227297076126834
"100193",0,0,0,0,0,0,0.000110439509545273
"100194",0,0,0,0,0,0,0
"100195",0,0,0,0,0,0,0
"100196",0,0,0,0,0,0,0
"100197",0,0,0,0,0,0,0
"100198",0,0,0,0,0,0,3.85849097348477e-06
"100199",0,0,0,0,0,0,0
"100200",0,0,0,0,0,0,0
"100201",0,0,0,0,0,0,0
"100202",0,0,0,0,0,0,0
"100203",0,0,0,0,0,0,0
"100204",0,0,0,0,0,0,0
"100205",0,0,0,0,0,0,0
"100206",0,0,0,0,0,0,0.000198168194836782
"100207",0,0,0,0,0,0,0.000268677606668396
"100208",0,0,0,0,0,0,0.000196904318763892
"100209",0,0,0,0,0,0,0
"100210",0,0,0,0,0,0,0
"100211",0,0,0,0,0,0,0
"100212",0,0,0,0,0,0,1.34303162144678e-05
"100213",0,0,0,0,0,0,0.000105050958003429
"100214",0,0,0,0,0,0,0
"100215",0,0,0,0,0,0,0
"100216",0,0,0,0,0,0,0
"100217",0,0,0,0,0,0,0
"100218",0,0,0,0,0,0,0
"100219",0,0,0,0,0,0,0
"100220",0,0,0,0,0,0,0
"100221",0,0,0,0,0,0,0.000209982500593842
"100222",0,0,0,0,0,0,0.000525671243359724
"100223",0,0,0,0,0,0,4.59400949155784e-05
"100224",0,0,0,0,0,0,0
"100225",0,0,0,0,0,0,0
"100226",0,0,0,0,0,0,6.46630865203538e-05
"100227",0,0,0,0,0,0,0.000209303327898867
"100228",0,0,0,0,0,0,0
"100229",0,0,0,0,0,0,0.000326427186048077
"100230",0,0,0,0,0,0,0
"100231",0,0,0,0,0,0,0
"100232",0,0,0,0,0,0,0
"100233",0,0,0,0,0,0,0
"100234",0,0,0,0,0,0,0
"100235",0,0,0,0,0,0,0
"100236",0,0,0,0,0,0,0
"100237",0,0,0,0,0,0,0
"100238",0,0,0,0,0,0,0.000157620762261553
"100239",0,0,0,0,0,0,0.000767582960718438
"100240",0,0,0,0,0,0,0
"100241",0,0,0,0,0,0,0
"100242",0,0,0,0,0,0,0
"100243",0,0,0,0,0,0,0
"100244",0,0,0,0,0,0,0
"100245",0,0,0,0,0,0,0.000165107100083151
"100246",0,0,0,0,0,0,0.000631548166573619
"100247",0,0,0,0,0,0,0
"100248",0,0,0,0,0,0,0
"100249",0,0,0,0,0,0,0
"100250",0,0,0,0,0,0,0
"100251",0,0,0,0,0,0,0
"100252",0,0,0,0,0,0,0
"100253",0,0,0,0,0,0,0
"100254",0,0,0,0,0,0,0
"100255",0,0,0,0,0,0,0
"100256",0,0,0,0,0,0,0.00010586087379585
"100257",0,0,0,0,0,0,0.000260570224598113
"100258",0,0,0,0,0,0,0
"100259",0,0,0,0,0,0,0
"100260",0,0,0,0,0,0,0
"100261",0,0,0,0,0,0,0
"100262",0,0,0,0,0,0,0
"100263",0,0,0,0,0,0,3.28805111812665e-05
"100264",0,0,0,0,0,0,0.000438637514453642
"100265",0,0,0,0,0,0,0.00142405803105174
"100266",0,0,0,0,0,0,0
"100267",0,0,0,0,0,0,0
"100268",0,0,0,0,0,0,0
"100269",0,0,0,0,0,0,0
"100270",0,0,0,0,0,0,0
"100271",0,0,0,0,0,0,0
"100272",0,0,0,0,0,0,0
"100273",0,0,0,0,0,0,0
"100274",0,0,0,0,0,0,0
"100275",0,0,0,0,0,0,5.63145296254459e-05
"100276",0,0,0,0,0,0,0.000280555682832903
"100277",0,0,0,0,0,0,0
"100278",0,0,0,0,0,0,0
"100279",0,0,0,0,0,0,0.000381008378728578
"100280",0,0,0,0,0,0,0.00099871052877578
"100281",0,0,0,0,0,0,0.000364864680099259
"100282",0,0,0,0,0,0,0.000305369491108376
"100283",0,0,0,0,0,0,0.000866564662607369
"100284",0,0,0,0,0,0,0.00126759683980628
"100285",0,0,0,0,0,0,0.00340787421373335
"100286",0.00162945793445808,0.00243910834950191,0,0,0.00132167159810164,0,0.00225532183077535
"100287",0,0,0,0,0,0,0
"100288",0,0,0,0,0,0,0
"100289",0,0,0,0,0,0,0
"100290",0,0,0,0,0,0,0
"100291",0,0,0,0,0,0,0
"100292",0,0,0,0,0,0,0
"100293",0,0,0,0,0,0,0
"100294",0,0,0,0,0,0,0
"100295",0,0,0,0,0,0,0
"100296",0,0,0,0,0,0,0
"100297",0,0,0,0,0,0,0.00111346726845039
"100298",0,0,0,0,0,0,0.00143454072816516
"100299",0,0,0,0,0,0,0.00102180362621521
"100300",0,0,0,0,0,0,0.00189654547875418
"100301",0,0,0,0,0,0,0.00680636754512686
"100302",0,0,0,0,0,0,0.000802196094422447
"100303",0,0,0,0,0,0,0.000598737850003967
"100304",0,0,0,0,0,0,0.000936055904760837
"100305",0,0,0,0,0,0,0.00185207951095166
"100306",0.000368641137831794,0,0,0,0,0,0.00410629612003174
"100307",0,0.000538384347651157,0,0,0,0,0.00180303027808906
"100308",0,0,0,0,0,0,0
"100309",0,0,0,0,0,0,0
"100310",0,0,0,0,0,0,0
"100311",0,0,0,0,0,0,0
"100312",0,0,0,0,0,0,0
"100313",0,0,0,0,0,0,0
"100314",0,0,0,0,0,0,0
"100315",0,0,0,0,0,0,0
"100316",0,0,0,0,0,0,0
"100317",0,0,0,0,0,0,0.000850428885014
"100318",0,0,0,0,0,0,0.000595883989813105
"100319",0,0,0,0,0,0,0.000599746087252058
"100320",0,0,0,0,0,0,0.00214466659270962
"100321",0,0,0,0,0,0,0.00221158554398522
"100322",0,0,0,0,0,0,0.00554371669273007
"100323",0.00397366558085895,0,0,0,0.00182196879450074,0,0.020757168861993
"100324",0.0018579075707785,0.00245668124960528,0,0,0.0013014593573567,0,0.00377971380630327
"100325",0,0,0,0,0,0,0.000908283126444084
"100326",0,0,0,0,0,0,0.000409232504835742
"100327",0,0,0,0,0,0,0.00199038769087777
"100328",0,0,0,0,0,0,0.00307271553701968
"100329",0,0,0,0,0,0,0.00153405783157172
"100330",0,0,0,0,0,0,0
"100331",0,0,0,0,0,0,0.00139173410941442
"100332",0,0,0,0,0,0,0
"100333",0,0,0,0,0,0,0
"100334",0,0,0,0,0,0,0
"100335",0,0,0,0,0,0,0
"100336",0,0,0,0,0,0,0
"100337",0,0,0,0,0,0,0
"100338",0,0,0,0,0,0,0
"100339",0,0,0,0,0,0,0
"100340",0,0,0,0,0,0,0.0020051589633171
"100341",0,0,0,0,0,0,0.00361188920161782
"100342",0,0,0,0,0,0,0.00208508858129069
"100343",0,0,0,0,0,0,0.00346684926067813
"100344",0,0,0,0,0,0,0.00590361744859957
"100345",0,0,0,0,0,0,0.00458569559320487
"100346",0,0,0,0,0,0,0.00556971694010592
"100347",0,0,0,0,0,0,0.00258630874486139
"100348",0,0,0,0,0,0,0
"100349",0,0,0,0,0,0,0.000884584870724625
"100350",0,0,0,0,0,0,0.00157616420869315
"100351",0,0,0,0,0,0,0.00349066191392033
"100352",0,0,0,0,0,0,0.0027940694196587
"100353",0,0,0,0,0,0,0.00107318974847477
"100354",0,0,0,0,0,0,0.00139198658637324
"100355",0,0,0,0,0,0,0.00244954261814355
"100356",0,0,0,0,0,0,0.00160050242851841
"100357",0,0,0,0,0,0,0
"100358",0,0,0,0,0,0.00675798651297094,0
"100359",0,0,0.0172094431016321,0,0,0.0168394602072226,0
"100360",0,0,0,0,0,0,0
"100361",0,0,0,0,0,0,0
"100362",0,0,0,0,0,0,0.00328065652885461
"100363",0,0,0,0,0,0,0.000934646105248911
"100364",0,0,0,0,0,0,0.00742526929389491
"100365",0,0,0,0,0,0,0.00432855624274418
"100366",0,0,0,0,0,0,0.00292772682563516
"100367",0,0,0,0,0,0,0.00232884552376273
"100368",0,0,0,0,0,0,0.000874157002044539
"100369",0,0,0,0,0,0,0
"100370",0,0,0,0,0,0,0
"100371",0,0,0,0,0,0,0.00119203160332319
"100372",0,0,0,0,0,0,0.0048470258350028
"100373",0,0,0,0,0,0,0.00836534040929086
"100374",0,0,0,0,0,0,0.00450613953037355
"100375",0,0,0,0,0,0,0.00385879774541186
"100376",0,0,0,0,0,0,0.00426648733296388
"100377",0,0,0,0,0,0,0.00267602721335384
"100378",0,0,0,0,0,0,0
"100379",0,0,0.019601132298858,0.00405678305124829,0,0.0413855746110621,0
"100380",0,0,0,0,0,0,0.0046888116960267
"100381",0,0,0,0,0,0,0.0591469276850013
"100382",0,0,0,0,0,0,0.00677640608298
"100383",0,0,0,0,0,0,0
"100384",0,0,0,0,0,0,0.00371127662238319
"100385",0,0,0,0,0,0,0.0025151320488696
"100386",0,0,0,0,0,0,0.00102654044364534
"100387",0,0,0,0,0,0,0.000692066817298744
"100388",0,0,0,0,0,0,0
"100389",0,0,0,0,0,0,0
"100390",0,0,0,0,0,0,0
"100391",0,0,0,0,0,0,0
"100392",0,0,0,0,0,0,0.00615092515618057
"100393",0,0,0,0,0,0,0.00979717184762187
"100394",0,0,0,0,0,0,0.00813801822939649
"100395",0,0,0,0,0,0,0.00732536863132227
"100396",0,0,0,0,0,0,0.00578429667054182
"100397",0,0,0,0,0,0,0.00265396633685943
"100398",0,0,0,0,0,0,0.00164761890388344
"100399",0,0,0,0,0,0,0.000974680857690553
"100400",0,0,0,0,0,0,0
"100401",0,0,0,0,0,0,0
"100402",0,0,0,0,0,0,0
"100403",0,0,0,0,0,0,0.000109891219353203
"100404",0,0,0,0,0,0,0.0017316578604582
"100405",0,0,0,0,0,0,0.00104657076455801
"100406",0,0,0,0,0,0,0.000399919622680085
"100407",0,0,0,0,0,0,0.000119256833803606
"100408",0,0,0,0,0,0,0
"100409",0,0,0,0,0,0,0
"100410",0,0,0,0,0,0,0
"100411",0,0,0,0,0,0,0
"100412",0,0,0,0,0,0,0.0105615563953593
"100413",0,0,0,0,0,0,0.00731947111559437
"100414",0,0,0,0,0,0,0.00579695977303627
"100415",0,0,0,0,0,0,0.00723970971945503
"100416",0,0,0,0,0,0,0.00583604781038556
"100417",0,0,0,0,0,0,0.00216752742110998
"100418",0,0,0,0,0,0,0.0008570156840912
"100419",0,0,0,0,0,0,0.000254086194129859
"100420",0,0,0,0,0,0,0
"100421",0,0,0,0,0,0,0
"100422",0,0,0,0,0,0,0
"100423",0,0,0,0,0,0,0
"100424",0,0,0,0,0,0,0
"100425",0,0,0,0,0,0,0
"100426",0,0,0,0,0,0,0
"100427",0,0,0,0,0,0,0
"100428",0,0,0,0,0,0,0
"100429",0,0,0,0,0,0,0
"100430",0,0,0,0,0,0,0
"100431",0,0,0,0,0,0,0.00245916859338061
"100432",0,0,0,0,0,0,0.00332678235452533
"100433",0,0,0,0,0,0,0.00287179462754985
"100434",0,0,0,0,0,0,0.00401661451448013
"100435",0,0,0,0,0,0,0.00369369984275208
"100436",0,0,0,0,0,0,0.00318110639109005
"100437",0,0,0,0,0,0,0
"100438",0,0,0,0,0,0,0
"100439",0,0,0,0,0,0,0
"100440",0,0,0,0,0,0,0
"100441",0,0,0,0,0,0,0
"100442",0,0,0,0,0,0,0
"100443",0,0,0,0,0,0,0
"100444",0,0,0,0,0,0,0
"100445",0,0,0,0,0,0,0
"100446",0,0,0,0,0,0,0
"100447",0,0,0,0,0,0,0.00172650281628923
"100448",0,0,0,0,0,0,0.000378900724498463
"100449",0,0,0,0,0,0,0
"100450",0,0,0,0,0,0,0
"100451",0,0,0,0,0,0,0.001602111806571
"100452",0,0,0,0,0,0,0.00177751113684608
"100453",0,0,0,0,0,0,0.0031050259646969
"100454",0,0,0,0,0,0,0
"100455",0,0,0,0,0,0,0
"100456",0,0,0,0,0,0,0
"100457",0,0,0,0,0,0,0
"100458",0,0,0,0,0,0,0
"100459",0,0,0,0,0,0,0
"100460",0,0,0,0,0,0,0
"100461",0,0,0,0,0,0,0
"100462",0,0,0,0,0,0,0
"100463",0,0,0,0,0,0,0
"100464",0,0,0,0,0,0,0
"100465",0,0,0,0,0,0,0
"100466",0,0,0,0,0,0,0
"100467",0,0,0,0,0,0,0
"100468",0,0,0,0,0,0,0
"100469",0,0,0,0,0,0,0
"100470",0,0,0,0,0,0,0
"100471",0,0,0,0,0,0,0
"100472",0,0,0,0,0,0,0
"100473",0,0,0,0,0,0,0
"100474",0,0,0,0,0,0,0
"100475",0,0,0,0,0,0,0
"100476",0,0,0,0,0,0,0
"100477",0,0,0,0,0,0,0
"100478",0,0,0,0,0,0,0
"100479",0,0,0,0,0,0,0
"100480",0,0,0,0,0,0,0
"100481",0,0,0,0,0,0,0
"100482",0,0,0,0,0,0,0
"100483",0,0,0,0,0,0,0
"100484",0,0,0,0,0,0,0
"100485",0,0,0,0,0,0,0
"100486",0,0,0,0,0,0,0
"100487",0,0,0,0,0,0,0
"100488",0,0,0,0,0,0,0
"100489",0,0,0,0,0,0,0.000443652796587375
"100490",0,0,0,0,0,0,0
"100491",0,0,0,0,0,0,0
"100492",0,0,0,0,0,0,0
"100493",0,0,0,0,0,0,0
"100494",0,0,0,0,0,0,0
"100495",0,0,0,0,0,0,0
"100496",0,0,0,0,0,0,0
"100497",0,0,0,0,0,0,0
"100498",0,0,0,0,0,0,0
"100499",0,0,0,0,0,0,0
"100500",0,0,0,0,0,0,0
"100501",0,0,0,0,0,0,0
"100502",0,0,0,0,0,0,0
"100503",0,0,0,0,0,0,0
"100504",0,0,0,0,0,0,0
"100505",0,0,0,0,0,0,0
"100506",0,0,0,0,0,0,0
"100507",0,0,0,0,0,0,0.000300619829357474
"100508",0,0,0,0,0,0,0
"100509",0,0,0,0,0,0,0
"100510",0,0,0,0,0,0,0
"100511",0,0,0,0,0,0,0
"100512",0,0,0,0,0,0,0
"100513",0,0,0,0,0,0,0
"100514",0,0,0,0,0,0,0
"100515",0,0,0,0,0,0,0
"100516",0,0,0,0,0,0,0
"100517",0,0,0,0,0,0,0
"100518",0,0,0,0,0,0,0
"100519",0,0,0,0,0,0,0
"100520",0,0,0,0,0,0,0
"100521",0,0,0,0,0,0,0
"100522",0,0,0,0,0,0,0
"100523",0,0,0,0,0,0,0
"100524",0,0,0,0,0,0,0
"100525",0,0,0,0,0,0,0
"100526",0,0,0,0,0,0,0
"100527",0,0,0,0,0,0,0
"100528",0,0,0,0,0,0,0
"100529",0,0,0,0,0,0,0
"100530",0,0,0,0,0,0,0
"100531",0,0,0,0,0,0,0
"100532",0,0,0,0,0,0,0
"100533",0,0,0,0,0,0,0
"100534",0,0,0,0,0,0,0
"100535",0,0,0,0,0,0,0
"100536",0,0,0,0,0,0,0
"100537",0,0,0,0,0,0,0
"100538",0,0,0,0,0,0,0
"100539",0,0,0,0,0,0,0
"100540",0,0,0,0,0,0,0
"100541",0,0,0,0,0,0,0
"100542",0,0,0,0,0,0,0
"100543",0,0,0,0,0,0,0
"100544",0,0,0,0,0,0,0
"100545",0,0,0,0,0,0,0
"100546",0,0,0,0,0,0,0
"100547",0,0,0.0842207444514282,0.0571815940325686,0,0.0928799825898442,0
"100548",0,0,0.0625123739109428,0.027275530293722,0,0.0352303508877704,0
"100549",0,0,0,0,0,0,0.0100095152656349
"100550",0,0,0,0,0,0,0
"100551",0,0,0,0,0,0,0
"100552",0,0,0,0,0,0,0
"100553",0,0,0,0,0,0,0
"100554",0,0,0,0,0,0,0
"100555",0,0,0,0,0,0,0
"100556",0,0,0,0,0,0,0
"100557",0,0,0,0,0,0,0
"100558",0,0,0,0,0,0,0.000875450956570156
"100559",0,0,0,0,0,0,0
"100560",0,0,0,0,0,0,0
"100561",0,0,0,0,0,0,0
"100562",0,0,0,0,0,0,0
"100563",0,0,0,0,0,0,0
"100564",0,0,0,0,0,0,0
"100565",0,0,0,0,0,0,0
"100566",0,0,0.0124506231563579,0,0,0.0149850141812501,0
"100567",0,0,0.162116689952651,0.11903873009842,0,0.120218196821516,0
"100568",0,0,0.0805081247334956,0.0247137737383918,0,0,0
"100569",0,0,0,0,0,0,0
"100570",0,0,0,0,0,0,0
"100571",0,0,0,0,0,0,0
"100572",0,0,0,0,0,0,0
"100573",0,0,0,0,0,0,0
"100574",0,0,0,0,0,0,0
"100575",0,0,0,0,0,0,0
"100576",0,0,0,0,0,0,0
"100577",0,0,0,0,0,0,0.0154025885430818
"100578",0,0,0,0,0,0,0
"100579",0,0,0,0,0,0,0
"100580",0,0,0,0,0,0,0
"100581",0,0,0,0,0,0,0
"100582",0,0,0,0,0,0,0
"100583",0,0,0,0,0,0,0
"100584",0,0,0,0,0,0,0
"100585",0,0,0,0,0,0,0
"100586",0,0,0.0416399610145844,0.0131209248388938,0,0.0288015049757954,0
"100587",0,0,0.124222818866867,0.0622767294578362,0,0.0187564638084814,0
"100588",0,0,0,0,0,0,0
"100589",0,0,0,0,0,0,0
"100590",0,0,0,0,0,0,0
"100591",0,0,0,0,0,0,0
"100592",0,0,0,0,0,0,0
"100593",0,0,0,0,0,0,0
"100594",0,0,0,0,0,0,0
"100595",0,0,0,0,0,0,0.0101779732102078
"100596",0.00168635300400946,0.0147649180632268,0,0,0.000524510528083305,0,0.0233024842736496
"100597",0,0,0,0,0,0,0
"100598",0,0,0,0,0,0,0
"100599",0,0,0,0,0,0,0
"100600",0,0,0,0,0,0,0
"100601",0,0,0,0,0,0,0
"100602",0,0,0,0,0,0,0
"100603",0,0,0,0,0,0,0
"100604",0,0,0,0,0,0,0
"100605",0,0,0.000648621066906552,0,0,0,0
"100606",0,0,0,0,0,0,0
"100607",0,0,0,0,0,0,0
"100608",0,0,0.0156199574105986,0.0093086399113695,0,0.0131136303677948,0
"100609",0,0,0,0,0,0,0
"100610",0,0,0,0,0,0,0
"100611",0,0,0,0,0,0,0.0008679315554476
"100612",0,0.00694164667020312,0,0,0,0,0
"100613",0,0.00459405783676847,0,0,0,0,0
"100614",0,0.00804097397481332,0,0,0,0,0.0134316739482798
"100615",0,0,0,0,0,0,0
"100616",0.0069673545187946,0.0107313465151289,0,0,0.00470970383451627,0,0
"100617",0,0,0,0,0,0,0
"100618",0,0,0,0,0,0,0
"100619",0,0,0,0,0,0,0
"100620",0,0,0,0,0,0,0
"100621",0,0,0,0,0,0,0
"100622",0,0,0.00439552887714068,0,0,0,0
"100623",0,0,0,0,0,0,0
"100624",0,0,0,0,0,0,0
"100625",0,0,0.0204567701960913,0.0152484292015923,0,0.0163777661423615,0.00858229716102681
"100626",0,0,0,0,0,0,0
"100627",0.00455497069804955,0.00573251137990455,0,0,0.00387897195570511,0,0.0089135886823286
"100628",0,0,0,0,0,0,0
"100629",0,0,0,0,0,0,0
"100630",0,0,0,0,0,0,0
"100631",0,0,0,0,0,0,0
"100632",0.0148617611605503,0.0239005264309426,0,0,0.0137051935228715,0,0.0136009541047271
"100633",0,0,0,0,0,0,0
"100634",0,0,0,0,0,0,0
"100635",0,0,0,0,0,0,0
"100636",0,0,0,0,0,0,0
"100637",0,0,0,0,0,0,0
"100638",0,0,0.0297203717355139,0,0,0.0221613380079609,0
"100639",0,0,0,0,0,0,0
"100640",0,0,0,0,0,0,0
"100641",0,0,0,0,0,0,0
"100642",0,0,0,0,0,0,0
"100643",0,0,0,0,0,0,0
"100644",0,0,0,0,0,0,0
"100645",0,0,0,0,0,0,0.00109914576760585
"100646",0,0,0,0,0,0,0.0258764197803536
"100647",0,0,0,0,0,0,0
"100648",0,0.0135613818979461,0,0,0,0,0.0144103387334054
"100649",0,0.0033412408665042,0,0,0,0,0.0286458882183021
"100650",0,0,0,0,0,0,0.0229936815059007
"100651",0,0,0,0,0,0,0.00677029704689308
"100652",0,0,0,0,0,0,0
"100653",0,0,0.0118682526967995,0.00527204087365014,0,0.00631039111788213,0
"100654",0,0,0,0,0,0,0
"100655",0,0,0,0,0,0,0
"100656",0,0,0,0,0,0,0
"100657",0,0,0,0,0,0,0
"100658",0,0,0,0,0,0,0
"100659",0,0,0,0,0,0,0
"100660",0,0,0,0,0,0,0
"100661",0,0,0,0,0,0,0
"100662",0,0,0,0,0,0,0
"100663",0,0,0,0,0,0,0
"100664",0,0,0,0,0,0,0
"100665",0,0,0,0,0,0,0
"100666",0,0,0,0,0,0,0.00516544455345758
"100667",0,0,0,0,0,0,0.0499581250579368
"100668",0,0,0,0,0,0,0.0490765428401698
"100669",0,0,0,0,0,0,0.0186640065968159
"100670",0,0,0,0,0,0,0.00787676872111356
"100671",0,0,0,0,0,0,0
"100672",0,0,0,0,0,0,0
"100673",0,0,0,0,0,0,0
"100674",0,0,0,0,0,0,0
"100675",0,0,0,0,0,0,0
"100676",0,0,0,0,0,0,0
"100677",0,0,0,0,0,0,0
"100678",0,0,0,0,0,0,0
"100679",0,0,0,0,0,0,0
"100680",0,0,0,0,0,0,0
"100681",0,0,0,0,0,0,0
"100682",0,0,0,0,0,0,0
"100683",0,0,0,0,0,0,0
"100684",0,0,0,0,0,0,0
